uefa_season_year,home_team_uefa_overall_coefficient,home_team_uefa_season_coefficient,home_team_uefa_overall_rank,home_team_uefa_season_rank,away_team_uefa_overall_coefficient,away_team_uefa_season_coefficient,away_team_uefa_overall_rank,away_team_uefa_season_rank,home_uefa_fallback_used,away_uefa_fallback_used,home_uefa_missing,away_uefa_missing,uefa_overall_coefficient_diff,uefa_season_coefficient_diff,uefa_overall_rank_diff,uefa_season_rank_diff,home_overall_country_coefficient,home_season_country_coefficient,home_country_uefa_overall_rank,home_country_uefa_season_rank,away_overall_country_coefficient,away_season_country_coefficient,away_country_uefa_overall_rank,away_country_uefa_season_rank,home_country_uefa_fallback_used,away_country_uefa_fallback_used,country_uefa_missing,country_overall_rank_diff,country_season_rank_diff,head_to_head_goal_diff,h2h_available,home_form_goals_for_5,home_form_goals_against_5,home_form_win_rate_5,home_form_clean_sheet_rate_5,home_form_fail_to_score_rate_5,home_form_btts_rate_5,home_form_clean_sheet_rate_10,home_form_btts_rate_10,away_form_goals_for_5,away_form_goals_against_5,away_form_win_rate_5,away_form_loss_rate_5,away_form_clean_sheet_rate_5,away_form_goals_for_10,away_form_win_rate_10,away_form_loss_rate_10,away_form_btts_rate_10,home_team_home_form_goals_against_5,home_team_home_form_goals_against_10,away_team_away_form_points_10,venue_form_points_diff_10
2014,72.0,0.0,181.0,230.0,1175.6,733.6,53.0,58.0,1,1,0,0,-1103.6,-733.6,128.0,172.0,1647.0,1647.0,17.0,17.0,1679.0,1679.0,14.0,14.0,1,1,0,3.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,439.0,139.0,87.0,130.0,5521.0,3100.6,8.0,17.0,1,1,0,0,-5082.0,-2961.6,79.0,113.0,1308.0,1308.0,80.0,80.0,1679.0,1679.0,13.0,13.0,1,1,0,67.0,67.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2223.4,1698.2,33.0,32.0,3716.6,3501.4,19.0,12.0,0,1,1,0,-1493.1999999999998,-1803.2,14.0,20.0,1679.0,1679.0,14.0,14.0,1776.0,1776.0,5.0,5.0,0,1,1,9.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2064.1,1300.1,38.0,39.0,4517.1,4227.9,12.0,9.0,1,1,0,0,-2453.0000000000005,-2927.7999999999997,26.0,30.0,1483.0,1483.0,42.0,42.0,1776.0,1776.0,5.0,5.0,1,1,0,37.0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1065.1,837.1,56.0,53.0,3658.9,3372.1,21.0,14.0,1,1,0,0,-2593.8,-2535.0,35.0,39.0,1477.0,1477.0,47.0,47.0,1886.0,1886.0,1.0,1.0,1,1,0,46.0,46.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1885.6,1082.0,39.0,45.0,138.0,0.0,152.0,224.0,1,1,0,0,1747.6,1082.0,-113.0,-179.0,1462.0,1462.0,52.0,52.0,1776.0,1776.0,5.0,5.0,1,1,0,47.0,47.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,5521.0,3100.6,8.0,17.0,439.0,139.0,87.0,130.0,1,1,0,0,5082.0,2961.6,-79.0,-113.0,1679.0,1679.0,13.0,13.0,1308.0,1308.0,80.0,80.0,1,1,0,-67.0,-67.0,-1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1175.6,733.6,53.0,58.0,72.0,0.0,181.0,230.0,1,1,0,0,1103.6,733.6,-128.0,-172.0,1679.0,1679.0,14.0,14.0,1647.0,1647.0,17.0,17.0,1,1,0,-3.0,-3.0,-1.0,1,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,4517.1,4227.9,12.0,9.0,2064.1,1300.1,38.0,39.0,1,1,0,0,2453.0000000000005,2927.7999999999997,-26.0,-30.0,1776.0,1776.0,5.0,5.0,1483.0,1483.0,42.0,42.0,1,1,0,-37.0,-37.0,-1.0,1,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2014,3716.6,3501.4,19.0,12.0,2209.0,1698.2,34.0,32.0,1,0,0,1,1507.6,1803.2,-15.0,-20.0,1776.0,1776.0,5.0,5.0,1679.0,1679.0,14.0,14.0,1,0,1,-9.0,-9.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,3658.9,3372.1,21.0,14.0,1065.1,837.1,56.0,53.0,1,1,0,0,2593.8,2535.0,-35.0,-39.0,1886.0,1886.0,1.0,1.0,1477.0,1477.0,47.0,47.0,1,1,0,-46.0,-46.0,-1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,138.0,0.0,152.0,224.0,1885.6,1082.0,39.0,45.0,1,1,0,0,-1747.6,-1082.0,113.0,179.0,1776.0,1776.0,5.0,5.0,1462.0,1462.0,52.0,52.0,1,1,0,-47.0,-47.0,2.0,1,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014,3716.6,3501.4,19.0,12.0,2168.6,1377.0,37.0,38.0,1,1,0,0,1548.0,2124.4,-18.0,-26.0,1776.0,1776.0,5.0,5.0,1886.0,1886.0,1.0,1.0,1,1,0,4.0,4.0,0.0,0,2.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014,1175.6,733.6,53.0,58.0,430.8,242.8,90.0,103.0,1,1,0,0,744.8,490.8,-37.0,-45.0,1679.0,1679.0,14.0,14.0,1476.0,1476.0,48.0,48.0,1,1,0,-34.0,-34.0,0.0,0,1.0,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014,87.5,7.5,174.0,195.0,2209.0,1698.2,34.0,32.0,1,0,0,1,-2121.5,-1690.7,140.0,163.0,1647.0,1647.0,17.0,17.0,1679.0,1679.0,14.0,14.0,1,0,1,3.0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2247.0,1267.4,32.0,42.0,3261.3,2334.5,26.0,23.0,1,1,0,0,-1014.3000000000002,-1067.1,6.0,19.0,1483.0,1483.0,42.0,42.0,1886.0,1886.0,1.0,1.0,1,1,0,41.0,41.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,169.5,145.5,139.0,127.0,5949.2,5502.0,6.0,4.0,1,1,0,0,-5779.7,-5356.5,133.0,123.0,1477.0,1477.0,47.0,47.0,1776.0,1776.0,5.0,5.0,1,1,0,42.0,42.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,16.5,4.5,240.0,204.0,6029.4,3165.0,5.0,16.0,1,1,0,0,-6012.9,-3160.5,235.0,188.0,1477.0,1477.0,47.0,47.0,1679.0,1679.0,13.0,13.0,1,1,0,34.0,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1293.4,469.4,51.0,72.0,3708.7,2354.7,20.0,22.0,1,1,0,0,-2415.2999999999997,-1885.2999999999997,31.0,50.0,1679.0,1679.0,14.0,14.0,1476.0,1476.0,48.0,48.0,1,1,0,-34.0,-34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,61.0,25.0,190.0,171.0,9303.1,8609.1,2.0,2.0,1,1,0,0,-9242.1,-8584.1,188.0,169.0,1647.0,1647.0,17.0,17.0,1776.0,1776.0,5.0,5.0,1,1,0,12.0,12.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,175.5,175.5,136.0,119.0,2951.0,1698.2,29.0,32.0,1,1,0,0,-2775.5,-1522.7,107.0,87.0,1483.0,1483.0,42.0,42.0,1776.0,1776.0,5.0,5.0,1,1,0,37.0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,1885.6,1082.0,39.0,45.0,538.6,143.0,80.0,129.0,1,1,0,0,1347.0,939.0,-41.0,-84.0,1462.0,1462.0,52.0,52.0,1679.0,1679.0,13.0,13.0,1,1,0,39.0,39.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,5521.0,3100.6,8.0,17.0,4320.6,3096.2,14.0,18.0,1,1,0,0,1200.3999999999996,4.400000000000091,-6.0,-1.0,1679.0,1679.0,13.0,13.0,1776.0,1776.0,5.0,5.0,1,1,0,8.0,8.0,0.0,0,1.5,1.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2014,3658.9,3372.1,21.0,14.0,114.5,4.5,166.0,203.0,1,1,0,0,3544.4,3367.6,-145.0,-189.0,1886.0,1886.0,1.0,1.0,1462.0,1462.0,52.0,52.0,1,1,0,-51.0,-51.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,2855.4,1816.2,30.0,31.0,974.5,453.3,59.0,76.0,1,1,0,0,1880.9,1362.9,-29.0,-45.0,1679.0,1679.0,14.0,14.0,1886.0,1886.0,1.0,1.0,1,1,0,13.0,13.0,0.0,0,1.5,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014,1849.2,1200.8,42.0,43.0,3466.6,2435.0,23.0,21.0,1,1,0,0,-1617.3999999999999,-1234.2,19.0,22.0,1568.0,1568.0,24.0,24.0,1308.0,1308.0,80.0,80.0,1,1,0,-56.0,-56.0,0.0,0,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014,4517.1,4227.9,12.0,9.0,1865.3,1424.5,41.0,36.0,1,1,0,0,2651.8,2803.3999999999996,-29.0,-27.0,1776.0,1776.0,5.0,5.0,1308.0,1308.0,80.0,80.0,1,1,0,-75.0,-75.0,0.0,0,2.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2014,4128.4,4104.4,16.0,10.0,652.4,212.0,69.0,111.0,1,1,0,0,3475.9999999999995,3892.3999999999996,-53.0,-101.0,1568.0,1568.0,24.0,24.0,1462.0,1462.0,52.0,52.0,1,1,0,-28.0,-28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
